,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,Revision,datetime
0,CodeBlock1,1,31,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.1.java,"['', '', '', '', '', '', '', '', '   ', '', '', '', '', '', '', '', '   public static int riddle(int x, Point p){', '      x = x+7;', '      ', '      return x+p.x+p.y;', '   }', '', '   ', '', '', '', '', '', '', '', '']",CodeBlock10,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample1.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
1,CodeBlock2,1,34,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.2.java,"['', '', '', '', '', '', '', '', '   ', '', '', '', '', '', '', '   ', '   public static double distance(Point p1, Point p2){', '      int dx = p2.x - p1.x;', '      int dy = p2.y - p1.y;', '      return Math.sqrt(dx*dx+dy*dy);', '   }', '', '   public static Point findCenter(Rectangle box){', '      int x = box.x + box.width / 2;', '      int y = box.y + box.height / 2;', '      return new Point(x, y);', '   }', '   ', '', '', '', '', '', '']",CodeBlock11,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample10.2.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
2,CodeBlock3,1,39,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.3.java,"['', '', '', '', '', '', '', '', '   Rectangle box1 = new Rectangle(2,4,7,9);', '   Point p1 = findCenter(box1);', '   printPoint(p1);', '   box1.grow(1, 1);', '   Point p2 = findCenter(box1);', '   printPoint(p2);', '      ', '   ', '', '', '', '', '', '   public static void printPoint(Point p){', '      System.out.println(""(""+p.x+"", ""+p.y+"")"");', '   }', '', '   public static Point findCenter(Rectangle box){', '      int x = box.x + box.width / 2;', '      int y = box.y + box.height / 2;', '      return new Point(x,y);', '   }', '', '   ', '', '', '', '', '', '', '']",CodeBlock13,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample3.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
3,CodeBlock4,1,22,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.5.java,"['', '', '', '', '', '', '', '', '   public static BigInteger pow(int x, int n) {', '      if (n == 0)  { ', '         return BigInteger.valueOf(1); } ', '      ', '      BigInteger t = pow(x, n/2);', '      ', '      ', '      if (n % 2 == 0) {', '         return t.multiply(t);', '      } ', '      else {', '         return t.multiply(t).multiply(BigInteger.valueOf(x));', '      } ', '   }']",CodeBlock12,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample2.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
4,CodeBlock6,1,25,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Date.java,"['', '', '', '', '', '', '', '', 'public class Date{', '   public static void main(String args[]){', '      Date birthday = new Date();', '      System.out.println(birthday.year+"" ""+birthday.month+"" ""+birthday.day);', '   }', '   public int year;', '   public int month;', '   public int day;', '   public Date(int year, int month, int day){', '      this.year = year;', '      this.month = month;', '      this.day = day;', '   }', '   public Date(){', '      this(2001,4,17);', '   }', '}']",CodeBlock14,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleDate.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
5,CodeBlock7,1,100,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,"['', '', '', '', '', '', '', '', 'public class Rational{', '   public static void main(String args[]){', '      Rational\ttemp1\t= new\tRational();', '      temp1.setNumerator(17);', '      temp1.setDenominator(-12);', '      temp1.printRational();', '      Rational\ttemp2\t= new\tRational(temp1.getDenominator(),15);', '      temp2.negate();', '      temp2.invert();', '      System.out.println(temp2+"" ""+temp2.add(temp1)+"" ""+temp2.toDouble());', '   }', '   private int\tnumerator;', '   private int\tdenominator;', '   public void\tsetNumerator(int numerator){', '      this.numerator\t= numerator;', '      this.correct();', '   }', '   public int getNumerator(){', '      return this.numerator;', '   }', '   public void\tsetDenominator(int denominator){', '      this.denominator = denominator;', '      this.correct();', '   }', '   public int getDenominator(){', '      return this.denominator;', '   }', '   public Rational(){', '      this(0,1);', '   }', '   public Rational(Rational that){', '      this(that.numerator,that.denominator);', '   }', '   public Rational(int numerator, int denominator){', '      this.set(numerator,denominator);', '   }', '   public void\tset(Rational that){', '      this.set(that.numerator, that.denominator);', '   }', '   public void\tset(int numerator, int denominator){', '      this.numerator\t= numerator;', '      this.denominator = denominator;', '      this.correct();', '   }', '   public void\tprintRational(){', '      System.out.println(this.numerator+""/""+this.denominator);', '   }', '   public String toString(){', '      return this.numerator+""/""+this.denominator;', '   }', '   public void\tnegate(){', '      this.numerator\t= -this.numerator;', '   }', '   public void\tinvert(){', '      this.numerator+=this.denominator;', '      this.denominator=this.numerator-this.denominator;', '      this.numerator=this.numerator-this.denominator;', '      this.correct();', '   }', '   public Double toDouble(){', '      return (double)this.numerator\t/ this.denominator;', '   }', '   public Rational reduce(){', '      int gcd = gcd();', '      return new Rational(this.numerator / gcd,\tthis.denominator / gcd);', '   }', '   public int gcd(){', '      return gcd(this.numerator,\tthis.denominator);', '   }', '   private int\tgcd(int m,int n){', '      if\t(m\t% n == 0) {', '         return n;', '      } ', '      else {', '         return gcd(n,m\t% n);', '      }', '   }', '   public Rational add(Rational that){', '      int newNumerator = this.numerator *\tthat.denominator + that.numerator *\tthis.denominator;', '      int newDenominator =\tthis.denominator * that.denominator;', '      Rational\tresult =\tnew Rational(newNumerator,\tnewDenominator).reduce();', '      result.correct();', '      this.set(result);', '      return result;', '   }', '   private void correct(){', '      if\t(this.denominator\t< 0){ { ', '         this.negate(); } ', '         this.denominator = -this.denominator;', '      }', '   }', '}']",CodeBlock15,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
6,CodeBlock8,1,48,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Tile.java,"['', '', '', '', '', '', '', '', 'public class Tile{', '   public static void main(String args[]){', '      Tile aTile = testTile();', '      aTile.setValue(20);', '      printTile(aTile);', '      System.out.println(aTile.equals(testTile())+"" ""+aTile.getLetter());', '   }', '   private char letter;', '   private int value;', '   public Tile(char letter, int value){', '      this.letter = letter;', '      this.value = value;', '   }', '   public static void printTile(Tile tile){', '      System.out.println(""A tile with ""+tile.letter+"" and ""+tile.value);', '   }', '   public static Tile testTile(){', ""      Tile tile = new Tile('Z',10);"", '      printTile(tile);', '      return tile;', '   }', '   public String toString(){', '      return ""A tile with ""+this.letter+"" and ""+this.value;', '   }', '   public boolean equals(Tile that){', '      return this.letter == that.letter && this.value == that.value;', '   }', '   public char getLetter(){', '      return this.letter;', '   }', '   public void setLetter(char letter){', '      this.letter = letter;', '   }', '   public int getValue(){', '      return this.value;', '   }', '   public void setValue(int value){', '      this.value = value;', '   }', '}']",CodeBlock16,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Tile.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
7,CodeBlock9,1,38,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Time.java,"['', '', '', '', '', '', '', '', 'public class Time{', '', '   public static void main(String[] args){', '      Time time = new Time();', '      time.increment(3600*8+6*60+5);', '      System.out.println(time);', '   }', '', '   public int hour;', '   public int minute;', '   public double second;', '   public Time(int hour, int minute, double second){', '      this.hour = hour;', '      this.minute = minute;', '      this.second = second;', '   }', '   public Time(){', '      this(0,0,0);', '   }', '   public String toString(){', '      return this.hour+"":""+this.minute+"":""+this.second;', '   }', '   public void increment(double seconds) {', '      this.second += seconds;', '      this.minute += this.second / 60;', '      this.second %= 60;', '      this.hour += this.minute / 60;', '      this.minute %= 60;', '   }', '}']",CodeBlock17,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Time.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
8,CodeBlock10,1,31,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample1.java,"['', '', '', '', '', '', '', '', '   ', '', '', '', '', '', '', '', '   public static int riddle(int x, Point p){', '      x = x+7;', '      ', '      return x+p.x+p.y;', '   }', '', '   ', '', '', '', '', '', '', '', '']",CodeBlock1,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.1.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
9,CodeBlock11,1,34,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample10.2.java,"['', '', '', '', '', '', '', '', '   ', '', '', '', '', '', '', '   ', '   public static double distance(Point p1, Point p2){', '      int dx = p2.x - p1.x;', '      int dy = p2.y - p1.y;', '      return Math.sqrt(dx*dx+dy*dy);', '   }', '', '   public static Point findCenter(Rectangle box){', '      int x = box.x + box.width / 2;', '      int y = box.y + box.height / 2;', '      return new Point(x, y);', '   }', '   ', '', '', '', '', '', '']",CodeBlock2,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.2.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
10,CodeBlock12,1,22,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample2.java,"['', '', '', '', '', '', '', '', '   public static BigInteger pow(int x, int n) {', '      if (n == 0)  { ', '         return BigInteger.valueOf(1); } ', '      ', '      BigInteger t = pow(x, n/2);', '      ', '      ', '      if (n % 2 == 0) {', '         return t.multiply(t);', '      } ', '      else {', '         return t.multiply(t).multiply(BigInteger.valueOf(x));', '      } ', '   }']",CodeBlock4,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.5.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
11,CodeBlock13,1,39,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sample3.java,"['', '', '', '', '', '', '', '', '   Rectangle box1 = new Rectangle(2,4,7,9);', '   Point p1 = findCenter(box1);', '   printPoint(p1);', '   box1.grow(1, 1);', '   Point p2 = findCenter(box1);', '   printPoint(p2);', '      ', '   ', '', '', '', '', '', '   public static void printPoint(Point p){', '      System.out.println(""(""+p.x+"", ""+p.y+"")"");', '   }', '', '   public static Point findCenter(Rectangle box){', '      int x = box.x + box.width / 2;', '      int y = box.y + box.height / 2;', '      return new Point(x,y);', '   }', '', '   ', '', '', '', '', '', '', '']",CodeBlock3,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\10.3.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
12,CodeBlock14,1,25,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleDate.java,"['', '', '', '', '', '', '', '', 'public class Date{', '   public static void main(String args[]){', '      Date birthday = new Date();', '      System.out.println(birthday.year+"" ""+birthday.month+"" ""+birthday.day);', '   }', '   public int year;', '   public int month;', '   public int day;', '   public Date(int year, int month, int day){', '      this.year = year;', '      this.month = month;', '      this.day = day;', '   }', '   public Date(){', '      this(2001,4,17);', '   }', '}']",CodeBlock6,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Date.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
13,CodeBlock15,1,100,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,"['', '', '', '', '', '', '', '', 'public class Rational{', '   public static void main(String args[]){', '      Rational\ttemp1\t= new\tRational();', '      temp1.setNumerator(17);', '      temp1.setDenominator(-12);', '      temp1.printRational();', '      Rational\ttemp2\t= new\tRational(temp1.getDenominator(),15);', '      temp2.negate();', '      temp2.invert();', '      System.out.println(temp2+"" ""+temp2.add(temp1)+"" ""+temp2.toDouble());', '   }', '   private int\tnumerator;', '   private int\tdenominator;', '   public void\tsetNumerator(int numerator){', '      this.numerator\t= numerator;', '      this.correct();', '   }', '   public int getNumerator(){', '      return this.numerator;', '   }', '   public void\tsetDenominator(int denominator){', '      this.denominator = denominator;', '      this.correct();', '   }', '   public int getDenominator(){', '      return this.denominator;', '   }', '   public Rational(){', '      this(0,1);', '   }', '   public Rational(Rational that){', '      this(that.numerator,that.denominator);', '   }', '   public Rational(int numerator, int denominator){', '      this.set(numerator,denominator);', '   }', '   public void\tset(Rational that){', '      this.set(that.numerator, that.denominator);', '   }', '   public void\tset(int numerator, int denominator){', '      this.numerator\t= numerator;', '      this.denominator = denominator;', '      this.correct();', '   }', '   public void\tprintRational(){', '      System.out.println(this.numerator+""/""+this.denominator);', '   }', '   public String toString(){', '      return this.numerator+""/""+this.denominator;', '   }', '   public void\tnegate(){', '      this.numerator\t= -this.numerator;', '   }', '   public void\tinvert(){', '      this.numerator+=this.denominator;', '      this.denominator=this.numerator-this.denominator;', '      this.numerator=this.numerator-this.denominator;', '      this.correct();', '   }', '   public Double toDouble(){', '      return (double)this.numerator\t/ this.denominator;', '   }', '   public Rational reduce(){', '      int gcd = gcd();', '      return new Rational(this.numerator / gcd,\tthis.denominator / gcd);', '   }', '   public int gcd(){', '      return gcd(this.numerator,\tthis.denominator);', '   }', '   private int\tgcd(int m,int n){', '      if\t(m\t% n == 0) {', '         return n;', '      } ', '      else {', '         return gcd(n,m\t% n);', '      }', '   }', '   public Rational add(Rational that){', '      int newNumerator = this.numerator *\tthat.denominator + that.numerator *\tthis.denominator;', '      int newDenominator =\tthis.denominator * that.denominator;', '      Rational\tresult =\tnew Rational(newNumerator,\tnewDenominator).reduce();', '      result.correct();', '      this.set(result);', '      return result;', '   }', '   private void correct(){', '      if\t(this.denominator\t< 0){ { ', '         this.negate(); } ', '         this.denominator = -this.denominator;', '      }', '   }', '}']",CodeBlock7,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
14,CodeBlock16,1,48,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Tile.java,"['', '', '', '', '', '', '', '', 'public class Tile{', '   public static void main(String args[]){', '      Tile aTile = testTile();', '      aTile.setValue(20);', '      printTile(aTile);', '      System.out.println(aTile.equals(testTile())+"" ""+aTile.getLetter());', '   }', '   private char letter;', '   private int value;', '   public Tile(char letter, int value){', '      this.letter = letter;', '      this.value = value;', '   }', '   public static void printTile(Tile tile){', '      System.out.println(""A tile with ""+tile.letter+"" and ""+tile.value);', '   }', '   public static Tile testTile(){', ""      Tile tile = new Tile('Z',10);"", '      printTile(tile);', '      return tile;', '   }', '   public String toString(){', '      return ""A tile with ""+this.letter+"" and ""+this.value;', '   }', '   public boolean equals(Tile that){', '      return this.letter == that.letter && this.value == that.value;', '   }', '   public char getLetter(){', '      return this.letter;', '   }', '   public void setLetter(char letter){', '      this.letter = letter;', '   }', '   public int getValue(){', '      return this.value;', '   }', '   public void setValue(int value){', '      this.value = value;', '   }', '}']",CodeBlock8,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Tile.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
15,CodeBlock17,1,38,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Time.java,"['', '', '', '', '', '', '', '', 'public class Time{', '', '   public static void main(String[] args){', '      Time time = new Time();', '      time.increment(3600*8+6*60+5);', '      System.out.println(time);', '   }', '', '   public int hour;', '   public int minute;', '   public double second;', '   public Time(int hour, int minute, double second){', '      this.hour = hour;', '      this.minute = minute;', '      this.second = second;', '   }', '   public Time(){', '      this(0,0,0);', '   }', '   public String toString(){', '      return this.hour+"":""+this.minute+"":""+this.second;', '   }', '   public void increment(double seconds) {', '      this.second += seconds;', '      this.minute += this.second / 60;', '      this.second %= 60;', '      this.hour += this.minute / 60;', '      this.minute %= 60;', '   }', '}']",CodeBlock9,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Time.java,1.0,1.0,1.0,4,1,2022-09-15 00:50:19.944213
